investor_count,select_investors,total_raised
12,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",975490000.0
22,"Two Sigma Ventures, Flint Capital, Commerce Ventures",648250000.0
2,"Passion Capital, Thrive Capital, Orange Digital Ventures",0.0
22,"CDH Investments, Goldstone Investments, Qiming Venture Partners",645600000.0
27,"Mayfield Fund, M12, Trinity Ventures",489780000.0
30,"Atop Capital, IDInvest Partners, Qiming Venture Partners",7890000000.0
18,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",566900000.0
14,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",498250000.0
24,"Benchmark, Accel, SoftBank Group",737080000.0
35,"Playground Global, Bond, Tribe Capital",1385000000.0
21,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",971140000.0
25,"Addition, Benhcmark, Accel",366720000.0
20,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",673700000.0
5,"Vista Equity Partners, Wincove, TDR Capital",353500000.0
12,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",415900000.0
35,"Venrock, Institutional Venture Partners, Goldman Sachs",1044000000.0
12,"Speedinvest, Valar Ventures, Uniqa Ventures",497430000.0
14,"Goodwater Capital, iFly, XVC Venture Capital",836300000.0
18,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",613600000.0
8,Formation 8,216070000.0
18,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",1358000000.0
2,"SoftBank Group, General Atlantic",1705000000.0
38,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2006000000.0
4,"New Enterprise Associates, Starr Investment Holdings",1347000000.0
17,"Zeev Ventures, Ribbit Capital, TLV Partners",8810000000.0
28,"Index Ventures, Thrive Capital, CRV",412100000.0
3,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",86880000.0
3,"Accel, Insight Partners, Bond Capital",2500000000.0
16,"Drive Capital, General Catalyst, Ascension Ventures",858800000.0
10,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",5530000000.0
13,"Accel, Aleph, American Express Ventures",5040000000.0
23,"SoftBank Group, Norwest Venture Partners",8020000000.0
6,"Georgian Partners, Craft Ventures",5350000000.0
14,"Benchmark, Foundation Capital, Sequoia Capital",7180000000.0
21,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",739600000.0
15,"New Enterprise Associates, Pear, Cowboy Ventures",5420000000.0
9,"Fifth Wall Ventures, Energize Ventures, 	ICONIQ Capital",520400000.0
10,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",764740000.0
30,"Moore Strategic Ventures, DST Global, Sequoia Capital India",1296000000.0
38,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",1487000000.0
30,"Google Ventures, Battery Ventures, DST Global",5200000000.0
15,"Y Combinator, Atomico, Accel",1100000000.0
25,"General Atlantic, Blackstone, ICONIQ Growth",376500000.0
25,"Blackstone, ICONIQ Growth, General Atlantic",376500000.0
15,"Tiger Global Management, American Express Ventures, B Capital Group",2770000000.0
14,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",6030000000.0
22,"SoftBank Group, Sequoia Capital, Wing Venture Capital",6600000000.0
11,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2630000000.0
28,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",491620000.0
28,"Qualcomm Ventures, Samsung Ventures, Silver Lake",627800000.0
12,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",7920000000.0
16,"Bessemer Venture Partners, Insight Partners, New Era Ventures",4380000000.0
22,"India Quotient, Elevation Capital, Lightspeed Venture Partners",1277000000.0
2,"Silver Lake, ICONIQ Capital",1250000000.0
36,"NextView Ventures, Promus Ventures, Two Sigma Ventures",404380000.0
21,"Andreessen Horowitz, Lux Capital, General Catalyst",3400000000.0
17,"NewView Capital, Maveron, Ridge Ventures",475680000.0
2,EQT Partners,815490000.0
10,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",1177000000.0
1,None,263120000.0
13,"First Round Capital, Sequoia Capital, Index Ventures",294820000.0
15,"Fairfax Financial Holdings, A91 Partners, TVS Capital",424160000.0
2,"General Catalyst, HCA Healthcare",743890000.0
6,"Elaia Partners, 83North, Felix Capital",9480000000.0
14,"Two Sigma Ventures, Flint Capital, Commerce Ventures",5200000000.0
14,"Airbus Ventures, Index Ventures, Advent International",4000000000.0
4,"WestCap Group, Caisse de depot et placement du Quebec",778800000.0
13,"DN Capital, Left Lane Capital, Coatue Management",684790000.0
13,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",652850000.0
16,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",430500000.0
6,"Insight Partners, Tiger Global Management, Accel",468650000.0
15,"Matrix Partners, Initialized Capital, Tiger Global Management",382140000.0
34,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",875730000.0
6,"New Enterprise Associates, Coatue Management, Tiger Global Management",5550000000.0
4,"Tiger Global Management, Kalaari Capital",540000000.0
7,"China Environmental Protection Industry, China Fortune Ocean",1326000000.0
12,"Insight Partners, Salesforce Ventures, Vertex Ventures",507250000.0
1,"Index Ventures, Coatue Management, Andreessen Horowitz",0.0
38,"Oriza Holdings, Guangdong Technology Financial Group",778820000.0
6,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",443670000.0
15,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",930830000.0
53,"Greycroft, Sands Capital, Revolution Growth",998500000.0
10,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3150000000.0
20,"Sequoia Capital China, DST Global, DST Global",769860000.0
34,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",401540000.0
1,Alibaba Pictures Group,1540000000.0
