ID,Investors Count,Select Inverstors,Total Raised($)
UC_166,25,"Addition, Benhcmark, Accel",366720000.0
UC_167,20,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",673700000.0
UC_168,5,"Vista Equity Partners, Wincove, TDR Capital",353500000.0
UC_169,12,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",415900000.0
UC_171,35,"Venrock, Institutional Venture Partners, Goldman Sachs",1044000000.0
UC_172,12,"Speedinvest, Valar Ventures, Uniqa Ventures",497430000.0
UC_173,14,"Goodwater Capital, iFly, XVC Venture Capital",836300000.0
UC_174,18,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",613600000.0
UC_176,8,Formation 8,216070000.0
UC_177,18,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",1358000000.0
UC_178,2,"SoftBank Group, General Atlantic",1705000000.0
UC_179,38,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2005999999.9999998
UC_180,4,"New Enterprise Associates, Starr Investment Holdings",1347000000.0
UC_181,17,"Zeev Ventures, Ribbit Capital, TLV Partners",8810000000.0
UC_182,28,"Index Ventures, Thrive Capital, CRV",412100000.0
UC_183,3,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",86880000.0
UC_186,3,"Accel, Insight Partners, Bond Capital",2500000000.0
UC_187,16,"Drive Capital, General Catalyst, Ascension Ventures",858800000.0
UC_188,10,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",5530000000.0
UC_189,13,"Accel, Aleph, American Express Ventures",5040000000.0
UC_190,23,"SoftBank Group, Norwest Venture Partners",8020000000.0
UC_191,6,"Georgian Partners, Craft Ventures",5350000000.0
UC_192,14,"Benchmark, Foundation Capital, Sequoia Capital",7180000000.0
UC_193,21,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",739600000.0
UC_194,15,"New Enterprise Associates, Pear, Cowboy Ventures",5420000000.0
UC_195,9,"Fifth Wall Ventures, Energize Ventures, 	ICONIQ Capital",520400000.0
UC_196,10,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",764740000.0
UC_197,38,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",1487000000.0
UC_198,30,"Google Ventures, Battery Ventures, DST Global",5200000000.0
UC_199,15,"Y Combinator, Atomico, Accel",1100000000.0
UC_200,25,"General Atlantic, Blackstone, ICONIQ Growth",376500000.0
UC_201,25,"Blackstone, ICONIQ Growth, General Atlantic",376500000.0
UC_202,15,"Tiger Global Management, American Express Ventures, B Capital Group",2770000000.0
UC_203,14,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",6030000000.0
UC_204,22,"SoftBank Group, Sequoia Capital, Wing Venture Capital",6600000000.0
UC_205,11,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2630000000.0
UC_206,28,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",491620000.0
UC_207,28,"Qualcomm Ventures, Samsung Ventures, Silver Lake",627800000.0
UC_208,12,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",7920000000.0
UC_209,16,"Bessemer Venture Partners, Insight Partners, New Era Ventures",4380000000.0
UC_210,22,"India Quotient, Elevation Capital, Lightspeed Venture Partners",1277000000.0
UC_211,2,"Silver Lake, ICONIQ Capital",1250000000.0
UC_212,36,"NextView Ventures, Promus Ventures, Two Sigma Ventures",404380000.0
UC_213,21,"Andreessen Horowitz, Lux Capital, General Catalyst",3400000000.0
UC_214,17,"NewView Capital, Maveron, Ridge Ventures",475680000.0
UC_215,2,EQT Partners,815490000.0
UC_216,10,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",1177000000.0
UC_217,1,None,263120000.0
UC_218,13,"First Round Capital, Sequoia Capital, Index Ventures",294820000.0
UC_219,15,"Fairfax Financial Holdings, A91 Partners, TVS Capital",424160000.0
UC_220,2,"General Catalyst, HCA Healthcare",743890000.0
UC_221,6,"Elaia Partners, 83North, Felix Capital",9480000000.0
UC_222,14,"Two Sigma Ventures, Flint Capital, Commerce Ventures",5200000000.0
UC_223,14,"Airbus Ventures, Index Ventures, Advent International",4000000000.0
UC_224,4,"WestCap Group, Caisse de depot et placement du Quebec",778800000.0
UC_225,13,"DN Capital, Left Lane Capital, Coatue Management",684790000.0
UC_226,13,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",652850000.0
UC_227,16,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",430500000.0
UC_228,6,"Insight Partners, Tiger Global Management, Accel",468650000.0
UC_229,15,"Matrix Partners, Initialized Capital, Tiger Global Management",382140000.0
UC_230,34,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",875730000.0
UC_231,6,"New Enterprise Associates, Coatue Management, Tiger Global Management",5550000000.0
UC_232,4,"Tiger Global Management, Kalaari Capital",540000000.0
UC_233,7,"China Environmental Protection Industry, China Fortune Ocean",1326000000.0
UC_234,12,"Insight Partners, Salesforce Ventures, Vertex Ventures",507250000.0
UC_235,1,"Index Ventures, Coatue Management, Andreessen Horowitz",0.0
UC_236,38,"Oriza Holdings, Guangdong Technology Financial Group",778820000.0
UC_237,6,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",443670000.0
UC_238,15,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",930830000.0
UC_239,53,"Greycroft, Sands Capital, Revolution Growth",998500000.0
UC_240,10,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3150000000.0
UC_241,20,"Sequoia Capital China, DST Global, DST Global",769860000.0
UC_242,30,"Moore Strategic Ventures, DST Global, Sequoia Capital India",1296000000.0
UC_243,34,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",401540000.0
UC_244,1,Alibaba Pictures Group,1540000000.0
UC_245,26,"Tiger Global, Sequoia Capital, Google Capital",698850000.0
UC_246,16,"Thrive Capital, Founders Fund, Cocnord Health Partners",350810000.0
UC_247,13,"Sequoia Capital India, Softbank, Bertelsmann India Investments",593460000.0
UC_248,23,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3110000000.0
UC_249,24,"Third Point, Electric Capital, Coinbase Ventures",282500000.0
UC_250,27,"M12, WestBridge Capital, Lightspeed Venture Partners",375680000.0
UC_251,10,"Accel, Sequoia Capital, Y Combinator",331120000.0
UC_252,5,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3940000000.0
UC_253,10,"Playground Global, M12, BlackRock",728500000.0
UC_254,13,"Dragoneer Investment Group, DST Global, Franklin Templeton",6000000000.0
UC_255,21,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",1447000000.0
UC_256,11,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",4750000000.0
UC_257,24,"Kaszek Ventures, Qualcomm Ventures, Accel",628300000.0
UC_258,24,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",868670000.0
UC_259,10,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",7750000000.0
UC_260,8,"Global Founders Capital, East Ventures, Expedia Inc.",1170000000.0
UC_261,22,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",1282000000.0
UC_262,1,CPP Investment Board,9000000000.0
UC_263,34,"General Catalyst, Digital Currency Group, Accel",712500000.0
UC_264,17,"Sequoia Capital China, Xiang He Capital, GGV Capital",3435000000.0
UC_265,16,"Times Internet, Nexus Venture Partners, SoftBank Group",1361000000.0
UC_266,16,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",1211000000.0
UC_267,9,"Benchmark, Bessemer Venture Partners",1800000000.0
UC_268,19,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",479910000.0
UC_269,17,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",5250000000.0
UC_270,4,"ICONIQ Capital, OpenView Venture Partners",350550000.0
UC_271,44,"ConsenSys Ventures, Valar Ventures, PUC",512750000.0
UC_272,4,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3600000000.0
UC_273,14,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",986300000.0
UC_274,14,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",1660000000.0
UC_275,4,Iconiq Capital,481500000.0
UC_276,36,"Brookfield Asset Management, Blackstone, Data Collective",523179999.99999994
UC_277,13,"Balderton Capital, General Catalyst, Tiger Global Management",3310000000.0
UC_278,13,"Uncork Capital, Threshold Ventures, Bloomberg Beta",330340000.0
UC_279,8,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",426500000.0
UC_280,5,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",330230000.0
UC_281,14,"Coatue Management, Atlantic Food Labs, DST Global",1335000000.0
UC_282,18,"Fabric Ventures, 500 Global, Standard Crypto",1610000000.0
UC_283,13,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",240020000.0
UC_284,10,"Tiger Global Management, Insight Partners, Jump Capital",339370000.0
UC_285,17,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",399890000.0
UC_286,12,"Accel, Summit Partners, Google Ventures",422220000.0
UC_287,23,"83North, RiverPark Ventures, Pitango Venture Capital",697060000.0
UC_288,28,"Andreessen Horowitz, Blockchain Capital, Lux Capital",4870000000.0
UC_289,5,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",486500000.0
UC_290,17,"Khosla Ventures, Thrive Capital, Y Combinator",329320000.0
UC_291,41,"Green Visor Capital, CRE Venture Capital, Greycroft",474710000.0
UC_292,18,None,3280000000.0
UC_293,11,"Bnk To The Future, Trammell Ventures, SBI Investment",18570000.0
UC_294,6,Khosla Ventures,1250000000.0
UC_295,3,"Grab, Tokopedia, Tokyo Century Corporation",1160000000.0
UC_296,16,"Founders Fund, Quantum Energy Partners, Bedrock Capital",752500000.0
UC_297,34,"Monashees+, Andreessen Horowitz, QED Investors",7880000000.0
UC_298,22,"Insight Partners, Sequoia Capital India, BEENEXT",702250000.0
UC_299,13,"Point72 Ventures, Route 66 Ventures, Accel",537710000.0
UC_300,10,"Mubadala Capital, Bond, Prosus Ventures",1042000000.0
UC_301,9,"Tiger Global Management, Blue Lake Capital, ZhenFund",651600000.0
UC_302,11,"Highland Europe, Eurazeo, Canaan Partners",8120000000.0
UC_303,37,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",487160000.0
UC_304,29,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",6820000000.0
UC_305,18,"Data Collective, Formation 8, General Catalyst Partners",557150000.0
UC_306,43,"Greylock Partners, capitalG, Y Combinator",675460000.0
UC_307,31,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",461400000.0
UC_308,6,"Makers Fund, Index Ventures, Inova Ventures Participacees",467200000.0
UC_309,11,"General Atlantic, Insight Partners, Vintage Investment Partners",5830000000.0
UC_310,13,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",3146000000.0
UC_311,28,"Notion Capital, Scentan Ventures, Kite Ventures",1103000000.0
UC_312,2,Goldman Sachs Asset Management,207500000.0
UC_313,3,KKR,4200000000.0
UC_314,12,"General Atlantic, Piton Capital, Partech Partners",708730000.0
UC_315,8,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2230000000.0
UC_316,18,"Contour Venture Partners, Battery Ventures, Core Capital Partners",359170000.0
UC_317,15,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",712930000.0
UC_318,16,None,470710000.0
UC_319,8,"JD.com, Baidu, Vision Plus Capital",1330000000.0
UC_320,20,"Foundry Group, General Atlantic, BlackRock",418450000.0
UC_321,20,Rhone Capital,418450000.0
UC_322,11,"FAW Group, Tencent Holdings, Tus Holdings",1208000000.0
UC_323,8,"Goldman Sachs, VebVentures, Insight Partners",427510000.0
UC_324,10,"Coatue Managemeny, Trinity Ventures, Matrix Partners",262820000.0
UC_325,18,"Chiratae Ventures, PremjiInvest, Softbank",675900000.0
UC_326,26,"Accel, Tiger Global Management, Nexus Venture Partners",381400000.0
UC_327,14,"Warburg Pincus, The Rise Fund, HarbourVest Partners",991330000.0
UC_328,10,"Aspect Ventures, SingTel Innov8, Greylock Partners",5120000000.0
UC_329,6,"Warburg Pincus, General Catalyst",561820000.0
UC_330,16,"CRV, Accel, Google Ventures",3130000000.0
UC_331,12,"Accel, Bain Capital Ventures, Insight Partners",728200000.0
UC_332,24,"Sequoia Capital India, Kae Capital, Accel",656670000.0
UC_333,25,"Chiratae Ventures, March Capital Partners, National Grid Partners",626630000.0
UC_334,14,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",4650000000.0
UC_335,21,"Soros Fund Management, Ribbit Capital, Monashees+",6080000000.0
UC_336,30,"Sequoia Capital India, RTP Global, Go-Ventures",377700000.0
UC_337,8,"SoftBank Group, CRV, Spark Capital",713620000.0
UC_338,4,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",535860000.0
UC_339,9,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",125580000.0
UC_340,24,"Google Ventures, Sequoia Capital, Wakefield Group",6920000000.0
UC_341,22,"Info Edge, Softbank Capital",633780000.0
UC_343,9,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",3900000000.0
UC_344,9,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",3900000000.0
UC_345,22,"T. Rowe Price, Dragoneer Investment Group, BlackRock",711730000.0
UC_346,9,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",483500000.0
UC_347,20,"Emergence Capital Partners, 8VC, Chicago Ventures",928800000.0
UC_348,8,"Octopus Ventures, Munich Re Ventures, CommerzVentures",477270000.0
UC_349,20,"Kibo Ventures, SoftBank Group, Atomico",1072000000.0000001
UC_350,3,"IMM Investment, NXC",486650000.0
UC_351,32,"V FUND, IDG Capital, Green Pine Capital Partners",288220000.0
UC_352,3,"Tencent Holdings, Goldman Sachs",569950000.0
UC_353,8,"Revolution, New Enterprise Associates, Caterpillar",3170000000.0
UC_354,8,"Google Ventures, Index Ventures, Scale Venture Partners",417300000.0
UC_355,4,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2075000000.0000002
UC_356,22,"Relay Ventures, TTV Capital, Canapi Ventures",556500000.0
UC_357,31,"Temasek, Google Ventures, General Catalyst",630900000.0
UC_358,6,"Summit Partners, Noshaq, Sofinnova Partners",3190000000.0
UC_359,10,"Goodwater Capital, Warburg Pincus, GS Growth",433700000.0
UC_360,9,"Global Founders Capital, Aglae Ventures, Alven Capital",420890000.0
UC_361,6,"Softbank Group, AME Cloud Ventures, SignalFire",445690000.0
UC_362,28,"Accel, Alven Capital, Storm Ventures",334340000.0
UC_363,5,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners,/td>",2770000000.0
UC_364,1,General Atlantic,0.0
UC_365,2,Sequoia Capital,286360000.0
UC_366,18,"Expa, QED Investors, Foundation Capital",383410000.0
UC_367,22,"Pantera Capital, QED Investors, Coinbase Ventures",314660000.0
UC_368,10,"General Atlantic, SoftBank Group, Atomico",529159999.99999994
UC_369,8,"Sierra Ventures, Battery Ventures, Asset Management Ventures",257640000.0
UC_370,15,"Andreessen Horowitz, Google Ventures, Section 32",425960000.0
UC_371,17,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners",7100000000.0
