total_raised,founded_year,year_joined
529160000.0,2012,2019
257640000.0,2012,2021
425960000.0,2011,2020
7100000000.0,2006,2022
4220000000.0,2009,2022
276350000.0,2005,2019
1900000000.0,2018,2022
717290000.0,2013,2020
385120000.0,2012,2018
513930000.0,2009,2021
581100000.0,2007,2021
3450000000.0,2013,2021
8310000000.0,2010,2020
3970000000.0,2016,2020
214920000.0,2012,2021
441240000.0,2014,2021
0.0,2017,2021
3050000000.0,2016,2021
533750000.0,2013,2021
214100000.0,2005,2018
529320000.00000006,2011,2022
2000000000.0,1999,2012
1730000000.0,1973,2012
564300000.0,2006,2015
519630000.0,2013,2016
2860000000.0,2009,2017
603930000.0,2012,2017
152190000.0,2014,2018
261250000.0,2011,2018
9300000000.0,2015,2018
217980000.0,2012,2019
617570000.0,2000,2019
4880000000.0,2010,2019
4750000000.0,2007,2019
3120000000.0,2011,2019
303100000.0,2011,2020
614490000.0,2014,2020
3550000000.0,2011,2020
953500000.0,2015,2020
367170000.0,2017,2020
376500000.0,2015,2020
0.0,2001,2020
98500000.0,2001,2021
423440000.0,2017,2021
4490000000.0,1999,2021
935010000.0,2015,2021
850000000.0,2013,2021
570990000.0,2014,2021
5500000000.0,2010,2021
5200000.0,2019,2021
497240000.0,2016,2022
421180000.0,2002,2021
3660000000.0,2019,2021
342400000.0,2013,2021
2280000000.0,2013,2021
397360000.0,2012,2021
484320000.0,2013,2019
192270000.0,2011,2021
417250000.0,2015,2020
50000000.0,2012,2019
783810000.0,2014,2021
1127000000.0,2017,2021
6400000000.0,2012,2020
5700000000.0,2018,2021
3400000000.0,2014,2021
409600000.0,2012,2019
526500000.0,2018,2021
296200000.0,2016,2021
1150000000.0,2016,2021
5360000000.0,2016,2021
133120000.0,2018,2021
3484000000.0,2010,2014
667380000.0,2018,2021
209930000.0,2016,2021
3000000000.0,2021,2021
4750000000.0,2015,2021
314610000.0,2010,2021
339200000.0,2018,2021
5320000000.0,2016,2021
167700000.0,2018,2021
490100000.0,2017,2021
322160000.0,2015,2021
3150000000.0,2011,2021
446700000.0,2015,2022
4050000000.0,2015,2021
4550000000.0,2014,2022
0.0,2011,2022
3900000000.0,2015,2021
905620000.0,2014,2021
488500000.0,2012,2021
350710000.0,2011,2017
454130000.0,2010,2021
294650000.0,2014,2021
3000000000.0,2017,2021
1333000000.0,2015,2019
18580000.0,2000,2021
18580000.0,2000,2021
861690000.0,2005,2013
383020000.0,2007,2015
3000000000.0,2012,2021
170200000.0,2014,2021
3350000000.0,2013,2019
250830000.0,2016,2021
330930000.0,2017,2018
469740000.0,2011,2021
515900000.0,2015,2021
6320000000.0,2019,2021
116300000.0,2014,2015
659100000.0,2013,2018
544930000.0,2007,2018
406960000.0,2013,2021
195300000.0,2014,2021
312500000.0,2011,2021
664450000.0,2009,2021
364200000.0,2016,2021
240500000.0,2011,2021
246120000.0,2011,2021
275750000.0,2015,2021
597350000.0,2015,2021
261300000.0,2014,2022
220650000.0,2019,2022
363170000.0,2016,2021
924310000.0,2014,2019
2650000000.0,2015,2021
2650000000.0,2015,2021
137130000.0,2010,2018
2980000000.0,2020,2022
391520000.0,2018,2022
402460000.0,2016,2021
3250000000.0,2011,2015
327200000.0,2006,2017
968860000.0,2015,2018
139640000.0,2016,2020
4960000000.0,2012,2021
431400000.0,2015,2021
415790000.0,2008,2021
222810000.0,2004,2021
222810000.0,2004,2021
346800000.0,2016,2021
312570000.0,2014,2021
222340000.0,2013,2021
150930000.0,2019,2021
539600000.0,2012,2021
256060000.0,2016,2021
420160000.0,2007,2019
336200000.0,2019,2022
5560000000.0,1979,2016
224350000.0,2015,2019
185520000.0,2015,2021
92440000.0,2013,2021
198480000.0,2016,2021
70590000.0,2012,2017
2080000000.0,2004,2013
763700000.0,2011,2015
7100000000.0,2009,2016
1057000000.0,2010,2016
260350000.00000003,2015,2017
5000000000.0,2012,2017
100120000.0,2008,2018
547270000.0,2014,2018
502500000.0,2010,2018
7140000000.0,2013,2019
179850000.0,2009,2020
341680000.0,2010,2020
2780000000.0,2016,2021
273070000.0,2010,2021
2500000000.0,2012,2021
302600000.0,2017,2021
466380000.0,2014,2021
226600000.0,2018,2021
342370000.0,2015,2021
274150000.0,2008,2021
214550000.0,2010,2021
395840000.0,2015,2021
258300000.0,2011,2021
235750000.0,2018,2021
1467000000.0,2020,2021
126500000.0,2017,2021
310320000.0,2011,2021
217500000.0,2018,2021
224150000.0,2019,2021
1500000000.0,2013,2021
374610000.0,2014,2021
268120000.0,2015,2021
1000000000.0,2021,2021
3810000000.0,2011,2021
169200000.0,2017,2021
2450000000.0,2016,2021
679400000.0,2016,2021
443070000.0,2016,2021
318750000.0,2015,2021
253460000.0,2016,2021
181350000.0,2020,2021
2060000000.0,2012,2022
290000000.0,2018,2022
300340000.0,2015,2022
192320000.0,2015,2022
136080000.0,2016,2022
432110000.0,2016,2022
299280000.0,2016,2021
121750000.0,2019,2022
292580000.0,2017,2022
658490000.0,2017,2019
3610000000.0,2016,2019
226600000.0,2006,2018
281380000.0,2011,2018
433720000.0,2015,2019
3000000000.0,2012,2020
3030000000.0,2015,2021
328170000.0,2015,2021
2280000000.0,2019,2022
150820000.0,2016,2021
1430000000.0,2012,2020
276070000.0,2014,2021
242050000.0,2016,2021
163840000.0,2018,2021
203500000.0,2013,2022
235890000.0,2018,2022
290880000.0,2013,2022
2640000000.0,2019,2022
3620000000.0,2010,2014
4610000000.0,2014,2017
150000000.0,2021,2017
481470000.0,2011,2018
1240000000.0,2015,2018
481800000.0,2007,2018
181100000.0,2015,2019
170500000.0,2007,2020
476140000.0,2009,2021
4360000000.0,2011,2021
495210000.0,2011,2021
459780000.0,1984,2021
439250000.0,2015,2021
163020000.0,2011,2021
163020000.0,2011,2021
385920000.0,2012,2021
358070000.0,2015,2021
314280000.0,2014,2021
437100000.0,2014,2021
140380000.0,2018,2021
270740000.0,2016,2022
2020000000.0,2017,2022
720420000.0,2016,2022
79280000.0,2014,2018
721190000.0,2014,2018
497190000.0,2015,2021
2920000000.0,2016,2021
155920000.0,2015,2021
287390000.0,2018,2022
411200000.0,2011,2021
274590000.0,2017,2021
331230000.0,2008,2022
210500000.0,2010,2015
453010000.0,2016,2019
66160000.0,2003,2018
361440000.0,2013,2019
1150000000.0,2010,2022
339110000.0,2012,2018
94400000.0,2013,2020
542410000.0,2007,2017
1013000000.0,2010,2019
559050000.0,1999,2020
230550000.0,2015,2020
11540000.0,2015,2020
3100000000.0,2013,2021
0.0,2013,2021
824590000.0,2013,2021
4350000000.0,2010,2021
399700000.0,2015,2021
2900000000.0,2016,2021
207300000.0,2014,2022
408580000.0,2015,2022
1250000000.0,2018,2022
2000000000.0,2012,2022
101620000.0,2017,2022
345200000.0,2014,2022
171050000.0,2016,2021
1630000000.0,2014,2018
240250000.0,2011,2018
