,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
698,July,goSTOPS,2014.0,New Delhi,Hospitality,"IAN, Yuj Ventures",1000000,Pre-series A
701,July,Powerplay,2020.0,Bangalore,Construction,"Sequoia’s Surge, Accel Partners",5200000,Pre-series B
704,June,Avishkaar,2014.0,New Delhi,EdTech,Auxano,600000,Pre-series A
705,June,Jobsgaar,2020.0,New Delhi,Job discovery platform,SucSEED Indovation Fund,140000,Seed
706,June,Almo,2020.0,Gurugram,D2C Fashion,Angelist India,Undisclosed,Seed
708,June,GalaxEye,2020.0,Chennai,SpaceTech,Speciale Invest,Undisclosed,Pre-seed
709,June,Good Health Clinic,2021.0,Hyderabad,HealthCare,Khosla Ventures,5000000,Pre-series B
710,June,Urban Company,2014.0,New Delhi,Home services,"Vy Capital, Wellington Management",250000000,Series C
711,June,MYBYK,2014.0,Ahmadabad,Rental,Avon Cycles,1000000,Pre-series A
712,June,Locus,2015.0,Bangalore,Logistics,"Blume Ventures, Exfinity Venture Partners",50000000,Series C
713,June,Crejo.Fun,2020.0,Bangalore,EdTech,"Matrix Partners India, 021 Capital",3000000,Seed
714,June,Bambinos,2020.0,Bangalore,EdTech,"HNIs, Angels",500000,Seed
715,June,KreditBee,2018.0,Bangalore,FinTech,"NewQuest Capital Partners, Motilal Oswal Private Equity",8000000,Pre-series B
719,June,Fable Fintech,2015.0,Mumbai,FinTech,Paytm,Undisclosed,Series A
720,June,Holisol,2009.0,New Delhi,Logistics,"BlackSoil, CLSA Capital Partners",3000000,Pre-series B
721,June,Now&Me,2018.0,New Delhi,HealthCare,"Saama, Whiteboard Capital",1000000,Pre-series B
722,June,Fyllo,2019.0,Bangalore,AgriTech,"Indian Angel Network, Titan Capital, Lead Angels",400000,Seed
724,June,Blaer Motors,2014.0,Chennai,Mobility,The Chennai Angels,300000,Pre-series B
725,June,Swiflearn,2019.0,Gurugram,EdTech,"Venture Highway, Stellaris Venture Partners",3000000,Pre-series A
727,June,QuickSell,2017.0,Mumbai,E-commerce,"Sanjay Baldwa, Ajay Jain",2000000,Pre-series A
